iter	Passed	Remaining
442	1278	1607
443	1281	1604
444	1286	1604
445	1289	1602
446	1295	1603
447	1300	1602
448	1305	1601
449	1308	1599
450	1311	1597
451	1315	1595
452	1321	1595
453	1325	1593
454	1328	1591
455	1331	1588
456	1334	1585
457	1339	1584
458	1343	1583
459	1346	1580
460	1349	1578
461	1352	1575
462	1355	1571
463	1358	1569
464	1362	1568
465	1367	1566
466	1370	1563
467	1372	1560
468	1375	1557
469	1379	1555
470	1383	1553
471	1386	1550
472	1388	1547
473	1391	1543
474	1393	1540
475	1396	1537
476	1399	1534
477	1403	1532
478	1406	1529
479	1408	1526
480	1411	1522
481	1414	1519
482	1416	1516
483	1419	1513
484	1422	1510
485	1424	1506
486	1427	1503
487	1429	1500
488	1432	1497
489	1434	1493
490	1437	1489
491	1439	1486
492	1441	1482
493	1443	1478
494	1445	1475
495	1448	1471
496	1450	1467
497	1452	1463
498	1454	1460
499	1456	1456
500	1458	1452
501	1461	1449
502	1463	1445
503	1465	1441
504	1467	1438
505	1469	1434
506	1471	1430
507	1473	1427
508	1475	1423
509	1477	1419
510	1479	1416
511	1481	1412
512	1483	1408
513	1485	1405
514	1488	1401
515	1490	1398
516	1492	1394
517	1494	1390
518	1496	1386
519	1498	1383
520	1500	1379
521	1502	1375
522	1504	1372
523	1507	1369
524	1509	1365
525	1511	1361
526	1513	1358
527	1515	1354
528	1518	1351
529	1522	1349
530	1525	1347
531	1527	1343
532	1529	1340
533	1532	1336
534	1534	1333
535	1537	1330
536	1539	1327
537	1541	1323
538	1543	1320
539	1545	1316
540	1547	1312
541	1549	1309
542	1552	1306
543	1554	1303
544	1556	1299
545	1558	1295
546	1560	1292
547	1562	1288
548	1564	1285
549	1567	1282
550	1569	1278
551	1570	1274
552	1572	1271
553	1575	1267
554	1577	1264
555	1579	1261
556	1581	1257
557	1583	1254
558	1585	1251
559	1587	1247
560	1589	1244
561	1592	1240
562	1594	1237
563	1596	1233
564	1598	1230
565	1600	1227
566	1602	1223
567	1604	1220
568	1607	1217
569	1609	1214
570	1611	1210
571	1613	1207
572	1616	1204
573	1618	1201
574	1621	1198
575	1623	1195
576	1627	1193
577	1630	1190
578	1632	1186
579	1634	1183
580	1637	1180
581	1639	1177
582	1641	1174
583	1643	1171
584	1646	1168
585	1649	1165
586	1652	1162
587	1655	1159
588	1657	1156
589	1659	1153
590	1662	1150
591	1664	1147
592	1667	1144
593	1669	1141
594	1671	1138
595	1674	1134
596	1677	1132
597	1680	1129
598	1682	1126
599	1685	1123
600	1688	1120
601	1690	1117
602	1695	1116
603	1698	1113
604	1701	1110
605	1703	1107
606	1705	1104
607	1708	1101
608	1713	1100
609	1716	1097
610	1719	1094
611	1723	1092
612	1726	1089
613	1729	1087
614	1732	1084
615	1735	1081
616	1739	1079
617	1742	1077
618	1745	1074
619	1751	1073
620	1755	1071
621	1759	1069
622	1762	1066
623	1765	1063
624	1768	1060
625	1771	1058
626	1775	1055
627	1777	1052
628	1780	1050
629	1783	1047
630	1788	1046
631	1792	1043
632	1795	1041
633	1798	1038
634	1801	1035
635	1803	1032
636	1806	1029
637	1809	1026
638	1811	1023
639	1814	1020
640	1816	1017
641	1819	1014
642	1821	1011
643	1824	1008
644	1827	1005
645	1830	1002
646	1832	999
647	1834	996
648	1836	993
649	1839	990
650	1841	987
651	1844	984
652	1848	982
653	1851	979
654	1853	976
655	1856	973
656	1858	970
657	1860	967
658	1862	964
659	1865	960
660	1867	957
661	1869	954
662	1872	951
663	1875	949
664	1878	946
665	1881	943
666	1883	940
667	1886	937
668	1888	934
669	1890	931
670	1893	928
671	1895	925
672	1898	922
673	1900	919
674	1903	916
675	1906	913
676	1909	911
677	1912	908
678	1915	905
679	1918	902
680	1921	900
681	1923	897
682	1927	894
683	1929	891
684	1932	888
685	1934	885
686	1937	882
687	1940	879
688	1943	877
689	1945	874
690	1948	871
691	1950	868
692	1953	865
693	1958	863
694	1960	860
695	1962	857
696	1964	854
697	1968	851
698	1972	849
699	1975	846
700	1978	843
701	1980	840
702	1983	837
703	1986	835
704	1990	832
705	1993	830
706	1996	827
707	1998	824
708	2001	821
709	2004	818
710	2006	815
711	2009	812
712	2013	810
713	2016	807
714	2019	804
715	2021	801
716	2024	799
717	2027	796
718	2031	793
719	2034	791
720	2036	788
721	2038	785
722	2041	782
723	2045	779
724	2048	777
725	2051	774
726	2053	771
727	2056	768
728	2059	765
729	2061	762
730	2065	760
731	2068	757
732	2071	754
733	2110	764
734	2117	763
735	2124	762
736	2131	760
737	2145	761
738	2152	760
739	2157	758
740	2167	757
741	2175	756
742	2189	757
743	2199	756
744	2205	754
745	2213	753
746	2245	760
747	2251	758
748	2258	756
749	2265	755
750	2273	753
751	2285	753
752	2292	751
753	2300	750
754	2307	748
755	2336	754
756	2343	752
757	2352	750
758	2359	749
759	2385	753
760	2389	750
761	2393	747
762	2397	744
763	2401	741
764	2406	739
765	2410	736
766	2413	733
767	2416	729
768	2421	727
769	2424	724
770	2428	721
771	2430	717
772	2438	716
773	2446	714
774	2454	712
775	2463	711
776	2471	709
777	2478	707
778	2487	705
779	2495	703
780	2500	701
781	2503	697
782	2507	694
783	2513	692
784	2516	689
785	2519	686
786	2522	682
787	2526	679
788	2530	676
789	2533	673
790	2535	670
791	2538	666
792	2541	663
793	2545	660
794	2549	657
795	2551	653
796	2554	650
797	2556	647
798	2559	643
799	2563	640
800	2566	637
801	2569	634
802	2571	630
803	2573	627
804	2576	624
805	2578	620
806	2581	617
807	2584	614
808	2586	610
809	2589	607
810	2591	603
811	2593	600
812	2596	597
813	2598	593
814	2600	590
815	2602	586
816	2605	583
817	2608	580
818	2611	577
819	2615	574
820	2618	570
821	2620	567
822	2622	564
823	2625	560
824	2628	557
825	2632	554
826	2634	551
827	2637	547
828	2639	544
829	2641	541
830	2644	537
831	2647	534
832	2650	531
833	2652	527
834	2655	524
835	2658	521
836	2661	518
837	2664	515
838	2666	511
839	2669	508
840	2671	505
841	2673	501
842	2676	498
843	2678	495
844	2680	491
845	2683	488
846	2685	485
847	2688	481
848	2690	478
849	2692	475
850	2695	471
851	2697	468
852	2699	465
853	2701	461
854	2704	458
855	2706	455
856	2708	451
857	2710	448
858	2712	445
859	2714	441
860	2717	438
861	2718	435
862	2721	432
863	2723	428
864	2726	425
865	2728	422
866	2730	418
867	2733	415
868	2736	412
869	2739	409
870	2742	406
871	2744	402
872	2747	399
873	2749	396
874	2751	393
875	2754	389
876	2757	386
877	2759	383
878	2763	380
879	2765	377
880	2768	373
881	2770	370
882	2773	367
883	2777	364
884	2779	361
885	2782	358
886	2785	354
887	2787	351
888	2789	348
889	2791	345
890	2794	341
891	2798	338
892	2801	335
893	2803	332
894	2806	329
895	2808	325
896	2810	322
897	2814	319
898	2817	316
899	2820	313
900	2822	310
901	2825	306
902	2827	303
903	2830	300
904	2833	297
905	2835	294
906	2839	291
907	2842	287
908	2846	284
909	2848	281
910	2851	278
911	2853	275
912	2855	272
913	2857	268
914	2861	265
915	2865	262
916	2867	259
917	2869	256
918	2872	253
919	2874	249
920	2877	246
921	2879	243
922	2882	240
923	2885	237
924	2888	234
925	2891	231
926	2894	227
927	2896	224
928	2898	221
929	2900	218
930	2903	215
931	2908	212
932	2911	209
933	2914	205
934	2917	202
935	2919	199
936	2923	196
937	2927	193
938	2931	190
939	2933	187
940	2936	184
941	2940	181
942	2942	177
943	2945	174
944	2948	171
945	2952	168
946	2956	165
947	2959	162
948	2962	159
949	2965	156
950	2968	152
951	2974	149
952	2977	146
953	2980	143
954	2983	140
955	2988	137
956	2995	134
957	2998	131
958	3002	128
959	3005	125
960	3008	122
961	3012	118
962	3017	115
963	3020	112
964	3023	109
965	3026	106
966	3030	103
967	3035	100
968	3038	97
969	3041	94
970	3044	90
971	3049	87
972	3053	84
973	3056	81
974	3059	78
975	3062	75
976	3065	72
977	3068	69
978	3072	65
979	3075	62
980	3079	59
981	3082	56
982	3084	53
983	3087	50
984	3089	47
985	3092	43
986	3095	40
987	3097	37
988	3099	34
989	3102	31
990	3104	28
991	3107	25
992	3112	21
993	3116	18
994	3119	15
995	3121	12
996	3124	9
997	3128	6
998	3131	3
999	3134	0
